id,name,season,competition,gamesPlayed,goals
187973,marcin-flis,2022,Ekstraklasa,12,0
187973,marcin-flis,2022,Fortuna Puchar Polski,2,0
187973,marcin-flis,2021,Ekstraklasa,27,1
187973,marcin-flis,2021,Fortuna Puchar Polski,1,0
187973,marcin-flis,2020,Ekstraklasa,28,3
187973,marcin-flis,2020,Fortuna Puchar Polski,1,0
187973,marcin-flis,2019,Fortuna 1 Liga,30,1
187973,marcin-flis,2019,Fortuna Puchar Polski,1,0
187973,marcin-flis,2018,Fortuna 1 Liga,26,1
187973,marcin-flis,2018,Fortuna Puchar Polski,1,0
187973,marcin-flis,2017,Fortuna 1 Liga,10,1
187973,marcin-flis,2016,Ekstraklasa,4,0
187973,marcin-flis,2016,Kwalifikacje do Ligi Europy,1,0
187973,marcin-flis,2016,Fortuna Puchar Polski,-,0
187973,marcin-flis,2015,Fortuna 1 Liga,20,1
187973,marcin-flis,2015,Fortuna Puchar Polski,2,0
187973,marcin-flis,2014,Ekstraklasa,11,0
187973,marcin-flis,2014,Fortuna Puchar Polski,1,0
187973,marcin-flis,2013,Fortuna 1 Liga,17,0
187973,marcin-flis,2013,Fortuna Puchar Polski,1,0
187973,marcin-flis,2012,Ekstraklasa,1,0
187973,marcin-flis,2011,1,25.10.2011,D
187973,marcin-flis,2011,2,27.10.2011,D
187973,marcin-flis,2011,3,07.03.2012,W
187973,marcin-flis,2011,20,26.04.2012,D
187973,marcin-flis,2011,20,27.04.2012,W
187973,marcin-flis,2011,20,24.05.2012,W
187973,marcin-flis,2011,20,26.05.2012,D
187973,marcin-flis,2010,Runda kwalifikacyjna,18.10.2010,D
187973,marcin-flis,2010,Runda kwalifikacyjna,20.10.2010,D
187973,marcin-flis,2010,Runda kwalifikacyjna,23.10.2010,W
