id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
404055,mateusz,kochalski,22/23,2022-07-01,Legia Warszawa,Stal Mielec,300000,100000
404055,mateusz,kochalski,21/22,2022-06-30,Radomiak,Legia Warszawa,300000,End of loan
404055,mateusz,kochalski,21/22,2021-08-16,Legia Warszawa,Radomiak,300000,loan transfer
404055,mateusz,kochalski,20/21,2021-06-30,Radomiak,Legia Warszawa,300000,End of loan
404055,mateusz,kochalski,20/21,2020-08-21,Legia Warszawa,Radomiak,100000,loan transfer
404055,mateusz,kochalski,19/20,2020-05-25,Legia II,Legia Warszawa,100000,0
404055,mateusz,kochalski,19/20,2020-02-28,Radomiak,Legia II,100000,End of loan
404055,mateusz,kochalski,18/19,2018-07-12,Legia II,Radomiak,0,loan transfer
404055,mateusz,kochalski,17/18,2018-06-30,Legionovia,Legia II,0,End of loan
404055,mateusz,kochalski,17/18,2018-02-01,Legia II,Legionovia,0,loan transfer
404055,mateusz,kochalski,16/17,2017-02-01,Legia U19,Legia II,0,0
404055,mateusz,kochalski,16/17,2016-07-01,Legia Yth.,Legia U19,0,0
404055,mateusz,kochalski,15/16,2015-07-01,BKS Lublin Młod,Legia Yth.,0,0
