id,name,season,competition,gamesPlayed,goals,minutes
143975,mateusz-mak,22/23,Ekstraklasa,11,0,268
143975,mateusz-mak,22/23,Fortuna Puchar Polski,1,0,68
143975,mateusz-mak,21/22,Ekstraklasa,20,7,1543
143975,mateusz-mak,20/21,Ekstraklasa,25,4,1225
143975,mateusz-mak,20/21,Fortuna Puchar Polski,1,0,74
143975,mateusz-mak,19/20,1 Liga,30,10,2023
143975,mateusz-mak,19/20,Fortuna Puchar Polski,4,3,332
143975,mateusz-mak,18/19,Ekstraklasa,20,1,945
143975,mateusz-mak,18/19,Fortuna Puchar Polski,1,0,25
143975,mateusz-mak,17/18,Ekstraklasa,14,2,840
143975,mateusz-mak,17/18,Fortuna Puchar Polski,1,0,84
143975,mateusz-mak,16/17,Kwalifikacje do Ligi Europy,2,0,108
143975,mateusz-mak,16/17,Ekstraklasa,1,0,44
143975,mateusz-mak,15/16,Ekstraklasa,26,7,1547
143975,mateusz-mak,14/15,Ekstraklasa,3,1,264
143975,mateusz-mak,13/14,1 Liga,33,5,2691
143975,mateusz-mak,12/13,Ekstraklasa,16,2,1199
143975,mateusz-mak,12/13,Fortuna Puchar Polski,1,0,1
143975,mateusz-mak,11/12,Ekstraklasa,11,1,610
143975,mateusz-mak,11/12,1 Liga,20,9,1507
143975,mateusz-mak,11/12,Fortuna Puchar Polski,1,0,81
143975,mateusz-mak,10/11,1 Liga,13,0,851
143975,mateusz-mak,10/11,Fortuna Puchar Polski,1,0,75
