id,firstName,lastName,dates,marketValue
297234,mateusz,zyro,2018-01-15,100000
297234,mateusz,zyro,2018-07-02,150000
297234,mateusz,zyro,2019-01-24,150000
297234,mateusz,zyro,2019-06-28,150000
297234,mateusz,zyro,2020-02-27,150000
297234,mateusz,zyro,2020-08-26,250000
297234,mateusz,zyro,2021-01-18,300000
297234,mateusz,zyro,2021-05-20,300000
297234,mateusz,zyro,2021-10-14,400000
297234,mateusz,zyro,2021-12-30,550000
297234,mateusz,zyro,2022-04-06,650000
297234,mateusz,zyro,2022-06-13,650000
297234,mateusz,zyro,2022-11-15,650000
