id,name,season,competition,gamesPlayed,goals
134491,piotr-wlazlo,2022,Ekstraklasa,19,4
134491,piotr-wlazlo,2022,Fortuna Puchar Polski,1,0
134491,piotr-wlazlo,2021,Ekstraklasa,30,9
134491,piotr-wlazlo,2021,Fortuna Puchar Polski,3,1
134491,piotr-wlazlo,2020,Fortuna 1 Liga,28,6
134491,piotr-wlazlo,2020,Fortuna Puchar Polski,2,3
134491,piotr-wlazlo,2019,Fortuna 1 Liga,32,9
134491,piotr-wlazlo,2019,Baraze o udzial w Ekstraklasie,1,0
134491,piotr-wlazlo,2018,Fortuna 1 Liga,20,4
134491,piotr-wlazlo,2018,Ekstraklasa,1,0
134491,piotr-wlazlo,2018,Fortuna Puchar Polski,1,0
134491,piotr-wlazlo,2017,Ekstraklasa,27,2
134491,piotr-wlazlo,2016,Ekstraklasa,32,7
134491,piotr-wlazlo,2016,Fortuna Puchar Polski,1,0
134491,piotr-wlazlo,2015,Fortuna 1 Liga,23,2
134491,piotr-wlazlo,2015,Fortuna Puchar Polski,1,0
134491,piotr-wlazlo,2014,Fortuna 1 Liga,29,1
134491,piotr-wlazlo,2014,Fortuna Puchar Polski,1,0
134491,piotr-wlazlo,2013,Fortuna 1 Liga,25,1
134491,piotr-wlazlo,2012,2 Liga - Grupa wschodnia,32,4
