id,name,season,competition,gamesPlayed,goals,minutes
181119,jakub-kielb,22/23,Ekstraklasa,7,0,416
181119,jakub-kielb,22/23,Fortuna Puchar Polski,1,0,41
181119,jakub-kielb,21/22,Ekstraklasa,25,0,1803
181119,jakub-kielb,21/22,Fortuna Puchar Polski,1,0,90
181119,jakub-kielb,20/21,Ekstraklasa,23,1,1925
181119,jakub-kielb,20/21,Fortuna Puchar Polski,3,0,330
181119,jakub-kielb,19/20,Baraze o udzial w Ekstraklasie,2,0,180
181119,jakub-kielb,19/20,1 Liga,30,3,2600
181119,jakub-kielb,19/20,Fortuna Puchar Polski,1,0,120
181119,jakub-kielb,18/19,Fortuna 1 Liga,31,2,2662
181119,jakub-kielb,18/19,Fortuna Puchar Polski,1,0,45
181119,jakub-kielb,17/18,eWinner 2 liga,20,1,1610
181119,jakub-kielb,17/18,Fortuna Puchar Polski,0,0,0
181119,jakub-kielb,16/17,eWinner 2 liga,24,1,1709
181119,jakub-kielb,14/15,1 Liga,5,1,72
181119,jakub-kielb,14/15,Fortuna Puchar Polski,2,0,71
181119,jakub-kielb,13/14,1 Liga,18,1,1397
181119,jakub-kielb,12/13,2 Liga - Grupa zachodnia,28,0,2220
181119,jakub-kielb,12/13,1 Liga,2,0,72
181119,jakub-kielb,11/12,Fortuna Puchar Polski,1,0,90
