id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
264278,jan,grzesik,20/21,2020-08-24,LKS Lodz,Warta Poznan,200000,70000
264278,jan,grzesik,18/19,2018-07-01,Siarka T.,LKS Lodz,0,free transfer
264278,jan,grzesik,15/16,2016-02-18,Nadwislan Gora,Siarka T.,0,free transfer
264278,jan,grzesik,15/16,2015-08-14,Legia II,Nadwislan Gora,50000,0
264278,jan,grzesik,14/15,2015-06-30,Pogon Siedlce,Legia II,50000,End of loan
264278,jan,grzesik,14/15,2015-02-28,Legia II,Pogon Siedlce,50000,loan transfer
264278,jan,grzesik,13/14,2014-06-30,Z. Sosnowiec,Legia II,50000,End of loan
264278,jan,grzesik,13/14,2013-07-03,Legia II,Z. Sosnowiec,0,loan transfer
264278,jan,grzesik,12/13,2013-02-01,Legia U19,Legia II,0,0
264278,jan,grzesik,12/13,2012-08-01,MKS Polonia U19,Legia U19,0,0
