id,name,season,competition,gamesPlayed,goals,minutes
665525,jayson-papeau,22/23,SuperLiga,12,0,419
665525,jayson-papeau,22/23,Cupa României,1,1,90
665525,jayson-papeau,22/23,Ekstraklasa,1,0,34
665525,jayson-papeau,21/22,Ekstraklasa,26,0,1530
665525,jayson-papeau,21/22,Fortuna Puchar Polski,0,0,0
665525,jayson-papeau,21/22,Ligue 2,5,1,243
665525,jayson-papeau,20/21,Ligue 2,26,1,983
665525,jayson-papeau,20/21,Coupe de France,1,0,73
665525,jayson-papeau,19/20,Ligue 2,1,0,45
665525,jayson-papeau,19/20,Coupe de France,1,0,90
665525,jayson-papeau,18/19,National 2 - Grp. D,27,7,2128
665525,jayson-papeau,18/19,Coupe de France,1,0,90
