id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
401599,konrad,matuszewski,22/23,Ekstraklasa,17,0,1349
401599,konrad,matuszewski,22/23,Fortuna Puchar Polski,2,0,139
401599,konrad,matuszewski,21/22,Ekstraklasa,25,1,1416
401599,konrad,matuszewski,21/22,Fortuna Puchar Polski,1,0,22
401599,konrad,matuszewski,20/21,1 Liga,28,0,2437
401599,konrad,matuszewski,20/21,Fortuna Puchar Polski,1,0,90
401599,konrad,matuszewski,19/20,1 Liga,25,0,2134
401599,konrad,matuszewski,19/20,Fortuna Puchar Polski,1,0,51
401599,konrad,matuszewski,18/19,3 Liga - Grupa I,33,0,2953
401599,konrad,matuszewski,17/18,3 Liga - Grupa I,14,0,1188
401599,konrad,matuszewski,17/18,CLJ - Runda Finałowa,1,0,90
401599,konrad,matuszewski,17/18,CLJ - Grupa Wschodnia,16,4,1375
401599,konrad,matuszewski,17/18,Liga Młodzieżowa UEFA,2,0,180
