id,name,season,competition,gamesPlayed,goals
373876,robert-ivanov,2022,Ekstraklasa,18,0
373876,robert-ivanov,2022,Fortuna Puchar Polski,1,0
373876,robert-ivanov,2021,Ekstraklasa,31,1
373876,robert-ivanov,2021,Fortuna Puchar Polski,1,0
373876,robert-ivanov,2020,Ekstraklasa,22,0
373876,robert-ivanov,2020,Kwalifikacje do Ligi Europy,1,0
373876,robert-ivanov,2020,Fortuna Puchar Polski,1,0
373876,robert-ivanov,2019,Veikkausliiga,10,0
373876,robert-ivanov,2019,Suomen Cup,6,0
373876,robert-ivanov,2018,Veikkausliiga,22,1
373876,robert-ivanov,2018,Suomen Cup,7,1
373876,robert-ivanov,2018,Veikkausliiga Championship Group,5,1
373876,robert-ivanov,2018,Veikkausliiga Europa Playoffs,2,0
373876,robert-ivanov,2017,Veikkausliiga,30,3
373876,robert-ivanov,2017,Suomen Cup,7,1
373876,robert-ivanov,2016,Ykkönen,22,3
373876,robert-ivanov,2016,Suomen Cup,6,3
373876,robert-ivanov,2016,Rel. Veikkausliiga,2,0
373876,robert-ivanov,2015,Kakkonen - Lohko B,20,4
373876,robert-ivanov,2015,Suomen Cup,4,0
373876,robert-ivanov,2015,Kakkonen Playoffs,2,1
373876,robert-ivanov,2014,Kakkonen Itäinen,19,3
373876,robert-ivanov,2014,Suomen Cup,1,0
373876,robert-ivanov,2013,Kakkonen Itäinen,6,1
