id,name,season,competition,gamesPlayed,goals
120192,stefan-savic,2022,1.Lig,7,0
120192,stefan-savic,2022,Türkiye Kupasi,2,0
120192,stefan-savic,2022,Ekstraklasa,-,0
120192,stefan-savic,2021,Ekstraklasa,25,3
120192,stefan-savic,2021,Fortuna Puchar Polski,2,0
120192,stefan-savic,2020,Ekstraklasa,27,2
120192,stefan-savic,2020,Fortuna Puchar Polski,1,0
120192,stefan-savic,2019,Prva Liga,35,6
120192,stefan-savic,2019,Kwalifikacje do Ligi Europy,4,1
120192,stefan-savic,2019,Pokal Slovenije,1,0
120192,stefan-savic,2018,Prva Liga,35,7
120192,stefan-savic,2018,Kwalifikacje do Ligi Europy,6,0
120192,stefan-savic,2018,Pokal Slovenije,5,5
120192,stefan-savic,2018,Kwalifikacje do Ligi Mistrzów,2,0
120192,stefan-savic,2017,Prva Liga,34,4
120192,stefan-savic,2017,Pokal Slovenije,5,1
120192,stefan-savic,2016,SuperSport HNL,19,2
120192,stefan-savic,2016,Beloften Eredivisie,5,0
120192,stefan-savic,2016,Hrvatski nogometni kup,3,0
120192,stefan-savic,2016,Eredivisie,-,0
120192,stefan-savic,2016,Play-Offs Promotie/Deg.,-,0
120192,stefan-savic,2015,SuperSport HNL,36,3
120192,stefan-savic,2015,Hrvatski nogometni kup,3,1
120192,stefan-savic,2014,2. Liga,34,1
120192,stefan-savic,2014,Regionalliga Mitte,1,0
120192,stefan-savic,2013,2. Liga,15,4
120192,stefan-savic,2012,Regionalliga West,22,7
120192,stefan-savic,2012,Rel. Erste Liga,2,2
120192,stefan-savic,2011,Regionalliga West,21,3
120192,stefan-savic,2011,ÖFB-Cup,3,1
120192,stefan-savic,2011,Bundesliga,2,0
120192,stefan-savic,2011,Liga Europy,1,0
120192,stefan-savic,2011,Kwalifikacje do Ligi Europy,-,0
120192,stefan-savic,2010,Regionalliga West,15,6
120192,stefan-savic,2010,ÖFB Jugendliga U18,7,6
120192,stefan-savic,2010,Bundesliga,-,0
120192,stefan-savic,2009,ÖFB Jugendliga U19 (- 2010),7,1
