id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
271399,bozhidar,chorbadzhiyski,22/23,Ekstraklasa,7,0,401
271399,bozhidar,chorbadzhiyski,22/23,Fortuna Puchar Polski,1,0,45
271399,bozhidar,chorbadzhiyski,21/22,Ekstraklasa,22,1,1223
271399,bozhidar,chorbadzhiyski,21/22,Fortuna Puchar Polski,1,0,90
271399,bozhidar,chorbadzhiyski,20/21,Ekstraklasa,20,0,1641
271399,bozhidar,chorbadzhiyski,19/20,Efbet liga - Championship gr.,0,0,0
271399,bozhidar,chorbadzhiyski,19/20,efbet Liga,3,0,257
271399,bozhidar,chorbadzhiyski,19/20,Liga 1,3,0,255
271399,bozhidar,chorbadzhiyski,19/20,Cupa României,1,0,90
271399,bozhidar,chorbadzhiyski,19/20,Kwalifikacje do Ligi Europy,1,0,8
271399,bozhidar,chorbadzhiyski,18/19,Efbet liga - Championship gr.,7,0,450
271399,bozhidar,chorbadzhiyski,18/19,Bulgarian Cup,3,0,270
271399,bozhidar,chorbadzhiyski,18/19,efbet Liga,22,1,1980
271399,bozhidar,chorbadzhiyski,18/19,Kwalifikacje do Ligi Europy,5,0,431
271399,bozhidar,chorbadzhiyski,17/18,Efbet liga - Championship gr.,10,2,882
271399,bozhidar,chorbadzhiyski,17/18,Bulgarian Cup,3,0,255
271399,bozhidar,chorbadzhiyski,17/18,efbet Liga,17,2,1525
271399,bozhidar,chorbadzhiyski,16/17,Efbet liga - Championship gr.,8,0,705
271399,bozhidar,chorbadzhiyski,16/17,Vtora Liga,1,0,90
271399,bozhidar,chorbadzhiyski,16/17,efbet Liga,23,3,2070
271399,bozhidar,chorbadzhiyski,16/17,Bulgarian Cup,1,0,90
271399,bozhidar,chorbadzhiyski,15/16,Bulgarian Cup,6,0,521
271399,bozhidar,chorbadzhiyski,13/14,Bulgarian Cup,0,0,0
271399,bozhidar,chorbadzhiyski,12/13,A Grupa,1,0,44
