id,name,season,competition,gamesPlayed,goals,minutes
573345,ernest-terpilowski,22/23,Ekstraklasa,14,2,1107
573345,ernest-terpilowski,21/22,1 Liga,13,2,893
573345,ernest-terpilowski,21/22,Ekstraklasa,11,1,603
573345,ernest-terpilowski,21/22,Fortuna Puchar Polski,1,0,82
573345,ernest-terpilowski,20/21,eWinner 2 liga,33,8,2016
573345,ernest-terpilowski,20/21,Fortuna Puchar Polski,1,0,28
573345,ernest-terpilowski,19/20,Baraze o udzial w Ekstraklasie,0,0,0
573345,ernest-terpilowski,19/20,1 Liga,9,0,507
573345,ernest-terpilowski,19/20,Fortuna Puchar Polski,1,0,90
573345,ernest-terpilowski,18/19,3 Liga - Grupa III,19,1,1025
573345,ernest-terpilowski,18/19,Fortuna Puchar Polski,1,0,10
573345,ernest-terpilowski,17/18,3 Liga - Grupa III,8,0,183
