id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
138350,fabio,nunes,21/22,2021-07-28,Farense,Widzew Lodz,400000,free transfer
138350,fabio,nunes,18/19,2018-07-17,AOK Kerkyra,Farense,400000,0
138350,fabio,nunes,17/18,2017-07-25,Belenenses,AOK Kerkyra,400000,free transfer
138350,fabio,nunes,16/17,2017-01-01,Tondela,Belenenses,500000,free transfer
138350,fabio,nunes,16/17,2016-07-01,Belenenses,Tondela,500000,0
138350,fabio,nunes,14/15,2014-09-01,Latina Calcio,Belenenses,150000,free transfer
138350,fabio,nunes,13/14,2014-01-24,Blackburn,Latina Calcio,250000,free transfer
138350,fabio,nunes,12/13,2012-07-05,Portimonense,Blackburn,100000,100000
138350,fabio,nunes,11/12,2012-06-30,Parma U19,Portimonense,100000,End of loan
138350,fabio,nunes,11/12,2011-08-01,Portimonense,Parma U19,0,loan transfer
138350,fabio,nunes,11/12,2011-07-01,Portimonense,Portimonense,0,0
138350,fabio,nunes,10/11,2011-06-30,FC Porto U19,Portimonense,0,End of loan
138350,fabio,nunes,10/11,2010-07-01,Portimonense,FC Porto U19,0,loan transfer
138350,fabio,nunes,09/10,2009-07-01,PSC U17,Portimonense,0,0
138350,fabio,nunes,07/08,2007-07-01,Portimonense 15,PSC U17,0,0
138350,fabio,nunes,06/07,2007-01-01,Benfica U15,Portimonense 15,0,0
138350,fabio,nunes,05/06,2005-07-01,Portimonense SC,Benfica U15,0,0
