id,name,season,competition,gamesPlayed,goals
504601,jakub-sypek,2022,Ekstraklasa,9,1
504601,jakub-sypek,2022,Fortuna Puchar Polski,1,0
504601,jakub-sypek,2021,3 Liga - Grupa III,13,5
504601,jakub-sypek,2021,Fortuna 1 Liga,11,1
504601,jakub-sypek,2021,Fortuna Puchar Polski,1,0
504601,jakub-sypek,2020,3 Liga - Grupa III,10,8
504601,jakub-sypek,2020,Ekstraklasa,1,0
504601,jakub-sypek,2020,Fortuna Puchar Polski,1,0
504601,jakub-sypek,2019,3 Liga - Grupa III,17,3
504601,jakub-sypek,2019,Ekstraklasa,2,0
504601,jakub-sypek,2019,Fortuna Puchar Polski,1,0
504601,jakub-sypek,2018,CLJ,25,9
504601,jakub-sypek,2018,3 Liga - Grupa III,9,1
