id,name,dates,marketValue
273533,jakub-wrabel,2013-07-21,50000
273533,jakub-wrabel,2014-02-13,50000
273533,jakub-wrabel,2014-07-20,50000
273533,jakub-wrabel,2015-03-04,100000
273533,jakub-wrabel,2015-06-29,150000
273533,jakub-wrabel,2016-01-09,150000
273533,jakub-wrabel,2016-03-27,150000
273533,jakub-wrabel,2016-09-03,150000
273533,jakub-wrabel,2017-03-01,200000
273533,jakub-wrabel,2017-07-04,300000
273533,jakub-wrabel,2018-01-15,300000
273533,jakub-wrabel,2018-07-02,200000
273533,jakub-wrabel,2019-01-24,150000
273533,jakub-wrabel,2019-06-28,200000
273533,jakub-wrabel,2020-01-14,100000
273533,jakub-wrabel,2020-08-17,150000
273533,jakub-wrabel,2021-01-18,100000
273533,jakub-wrabel,2021-02-23,100000
273533,jakub-wrabel,2021-06-29,150000
273533,jakub-wrabel,2022-01-13,250000
273533,jakub-wrabel,2022-06-23,400000
273533,jakub-wrabel,2022-11-15,300000
