id,name,season,competition,gamesPlayed,goals
528021,juljan-shehu,2022,Ekstraklasa,9,0
528021,juljan-shehu,2021,Abissnet Superiore,33,4
528021,juljan-shehu,2021,Kupa e Shqipërisë,7,1
528021,juljan-shehu,2021,UECL Kwalifikacje,5,0
528021,juljan-shehu,2020,Abissnet Superiore,32,3
528021,juljan-shehu,2020,Kupa e Shqipërisë,2,0
528021,juljan-shehu,2020,Kwalifikacje do Ligi Europy,1,0
528021,juljan-shehu,2019,Abissnet Superiore,33,2
528021,juljan-shehu,2019,Kwalifikacje do Ligi Europy,2,0
528021,juljan-shehu,2019,Kupa e Shqipërisë,1,0
528021,juljan-shehu,2018,Abissnet Superiore,31,4
528021,juljan-shehu,2018,Kupa e Shqipërisë,1,1
