id,name,dates,marketValue
178222,karol-danielak,2014-01-13,75000
178222,karol-danielak,2015-03-04,100000
178222,karol-danielak,2015-06-29,150000
178222,karol-danielak,2016-01-09,150000
178222,karol-danielak,2016-07-23,100000
178222,karol-danielak,2016-09-03,100000
178222,karol-danielak,2017-03-01,125000
178222,karol-danielak,2017-08-15,125000
178222,karol-danielak,2018-01-24,100000
178222,karol-danielak,2018-07-02,100000
178222,karol-danielak,2019-01-24,100000
178222,karol-danielak,2019-07-17,100000
178222,karol-danielak,2020-02-27,200000
178222,karol-danielak,2020-08-26,300000
178222,karol-danielak,2021-01-18,200000
178222,karol-danielak,2021-05-20,250000
178222,karol-danielak,2022-01-13,200000
178222,karol-danielak,2022-06-23,200000
178222,karol-danielak,2022-09-28,300000
178222,karol-danielak,2022-11-15,300000
178222,karol-danielak,2022-12-31,0
