id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
180215,kristoffer,hansen,22/23,Ekstraklasa,11,2,131
180215,kristoffer,hansen,22/23,Fortuna Puchar Polski,1,0,64
180215,kristoffer,hansen,21/22,1 Liga,13,2,783
180215,kristoffer,hansen,2021,Eliteserien,26,7,2096
180215,kristoffer,hansen,2021,NM-Cup,1,0,48
180215,kristoffer,hansen,2020,Eliteserien,25,2,1255
180215,kristoffer,hansen,2019,OBOS-ligaen,22,6,1695
180215,kristoffer,hansen,2019,NM-Cup,1,0,16
180215,kristoffer,hansen,2018,Relegation Eliteserien,1,0,45
180215,kristoffer,hansen,2018,OBOS-ligaen,29,13,2408
180215,kristoffer,hansen,2018,NM-Cup,4,0,355
180215,kristoffer,hansen,2017,Eliteserien,4,0,95
180215,kristoffer,hansen,2017,NM-Cup,1,0,48
180215,kristoffer,hansen,2016,Tippeligaen,3,0,30
180215,kristoffer,hansen,2016,NM-Cup,1,0,44
180215,kristoffer,hansen,2016,OBOS-ligaen,14,2,664
180215,kristoffer,hansen,2016,NM-Cup,2,0,108
180215,kristoffer,hansen,2015,Tippeligaen,26,2,1475
180215,kristoffer,hansen,2015,NM-Cup,4,1,342
180215,kristoffer,hansen,2014,1. divisjon,28,6,2189
180215,kristoffer,hansen,2014,NM-Cup,2,0,210
180215,kristoffer,hansen,2013,Adeccoligaen,1,0,11
180215,kristoffer,hansen,2013,NM-Cup,1,0,90
180215,kristoffer,hansen,2012,Adeccoligaen,2,0,4
180215,kristoffer,hansen,2012,NM-Cup,0,0,0
180215,kristoffer,hansen,2011,Adeccoligaen,3,0,47
180215,kristoffer,hansen,2010,Tippeligaen,0,0,0
