id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
76655,marek,hanousek,22/23,Ekstraklasa,19,2,1592
76655,marek,hanousek,22/23,Fortuna Puchar Polski,1,2,120
76655,marek,hanousek,21/22,1 Liga,33,3,2907
76655,marek,hanousek,21/22,Fortuna Puchar Polski,3,1,270
76655,marek,hanousek,20/21,1 Liga,15,1,993
76655,marek,hanousek,20/21,Fortuna Liga,6,0,227
76655,marek,hanousek,20/21,MOL Cup,2,0,151
76655,marek,hanousek,19/20,Fortuna Liga Abstiegsrunde,2,0,26
76655,marek,hanousek,19/20,Fortuna Liga,26,1,1753
76655,marek,hanousek,18/19,Fortuna Liga Abstiegsrunde,4,0,221
76655,marek,hanousek,18/19,Fortuna Liga,15,0,1226
76655,marek,hanousek,18/19,MOL Cup,1,0,90
76655,marek,hanousek,17/18,HET Liga,10,0,757
76655,marek,hanousek,16/17,ePojisteni.cz Li,29,1,2596
76655,marek,hanousek,16/17,MOL Cup,3,2,300
76655,marek,hanousek,15/16,Synot Liga,29,1,2527
76655,marek,hanousek,15/16,MOL Cup,5,2,431
76655,marek,hanousek,14/15,Synot Liga,29,3,2516
76655,marek,hanousek,14/15,MOL Cup,1,1,27
76655,marek,hanousek,13/14,Gambrinus Liga,19,0,1438
76655,marek,hanousek,13/14,MOL Cup,5,2,473
76655,marek,hanousek,13/14,Gambrinus Liga,1,0,0
76655,marek,hanousek,13/14,Kwalifikacje do Ligi Mistrzów,0,0,0
76655,marek,hanousek,13/14,Superpohar,1,0,70
76655,marek,hanousek,12/13,Gambrinus Liga,10,3,620
76655,marek,hanousek,12/13,Gambrinus Liga,0,0,0
76655,marek,hanousek,12/13,Liga Europy,4,0,357
76655,marek,hanousek,12/13,Kwalifikacje do Ligi Europy,4,1,25
76655,marek,hanousek,11/12,Gambrinus Liga,30,6,2644
76655,marek,hanousek,10/11,FNL,26,3,2244
76655,marek,hanousek,10/11,Viareggio,2,0,180
76655,marek,hanousek,09/10,FNL,23,0,1031
76655,marek,hanousek,09/10,Viareggio,3,2,270
