id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
120197,martin,kreuzriegler,21/22,2022-01-25,Sandefjord,Widzew Lodz,400000,free transfer
120197,martin,kreuzriegler,19/20,2020-06-25,Blau Weiss Linz,Sandefjord,250000,free transfer
120197,martin,kreuzriegler,18/19,2018-07-01,Hibernians FC,Blau Weiss Linz,200000,free transfer
120197,martin,kreuzriegler,17/18,2017-07-01,FAC,Hibernians FC,200000,free transfer
120197,martin,kreuzriegler,16/17,2016-07-01,A. Lustenau,FAC,125000,free transfer
120197,martin,kreuzriegler,15/16,2015-07-01,SV Horn,A. Lustenau,175000,free transfer
120197,martin,kreuzriegler,14/15,2014-07-01,Blau Weiss Linz,SV Horn,0,free transfer
120197,martin,kreuzriegler,13/14,2013-09-20,Without Club,Blau Weiss Linz,0,0
120197,martin,kreuzriegler,13/14,2013-07-01,Blau Weiss Linz,Without Club,100000,0
120197,martin,kreuzriegler,12/13,2012-07-01,FAL U18,Blau Weiss Linz,50000,free transfer
120197,martin,kreuzriegler,10/11,2010-07-01,FAL U16,FAL U18,0,0
120197,martin,kreuzriegler,09/10,2009-07-01,FAL U15,Linz U17,0,0
120197,martin,kreuzriegler,08/09,2008-07-01,Reichraming Jd.,Linz U15,0,0
