season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Stal Mielec,Widzew Lodz,650000,free transfer
20/21,2020-08-05,Legia Warszawa,Stal Mielec,150000,50000
19/20,2020-06-30,Stal Mielec,Legia Warszawa,150000,End of loan
19/20,2019-07-01,Legia Warszawa,Stal Mielec,150000,loan transfer
18/19,2019-06-30,Miedz Legnica,Legia Warszawa,150000,End of loan
18/19,2018-08-31,Legia Warszawa,Miedz Legnica,150000,loan transfer
17/18,2018-06-30,Wigry Suwalki,Legia Warszawa,100000,End of loan
17/18,2018-02-19,Legia Warszawa,Wigry Suwalki,100000,loan transfer
16/17,2017-02-10,Legia II,Legia Warszawa,-,-
14/15,2015-01-01,Legia U19,Legia II,-,-
