id,name,dates,marketValue
178078,mato-milos,2011-08-28,50000
178078,mato-milos,2012-02-28,100000
178078,mato-milos,2012-09-29,150000
178078,mato-milos,2013-03-02,150000
178078,mato-milos,2013-09-17,200000
178078,mato-milos,2014-01-28,450000
178078,mato-milos,2014-07-14,400000
178078,mato-milos,2015-02-09,450000
178078,mato-milos,2015-06-28,600000
178078,mato-milos,2015-12-27,500000
178078,mato-milos,2016-06-12,500000
178078,mato-milos,2016-09-13,400000
178078,mato-milos,2017-03-12,400000
178078,mato-milos,2018-01-15,400000
178078,mato-milos,2018-07-02,350000
178078,mato-milos,2019-01-10,200000
178078,mato-milos,2019-06-06,200000
178078,mato-milos,2019-12-29,500000
178078,mato-milos,2020-04-07,400000
178078,mato-milos,2020-08-16,300000
178078,mato-milos,2021-06-09,300000
178078,mato-milos,2021-12-29,500000
178078,mato-milos,2022-06-05,400000
178078,mato-milos,2022-11-15,400000
