id,name,season,competition,gamesPlayed,goals,minutes
385195,patryk-mucha,22/23,Fortuna 1 Liga,16,2,1108
385195,patryk-mucha,22/23,Fortuna Puchar Polski,2,0,180
385195,patryk-mucha,21/22,1 Liga,18,1,422
385195,patryk-mucha,21/22,Fortuna Puchar Polski,0,0,0
385195,patryk-mucha,20/21,1 Liga,30,4,1925
385195,patryk-mucha,20/21,Fortuna Puchar Polski,2,0,117
385195,patryk-mucha,19/20,eWinner 2 liga,27,2,2301
385195,patryk-mucha,19/20,Ekstraklasa,0,0,0
385195,patryk-mucha,18/19,3 Liga - Grupa III,27,1,2147
385195,patryk-mucha,18/19,Ekstraklasa,1,0,0
385195,patryk-mucha,18/19,Fortuna Puchar Polski,1,0,59
385195,patryk-mucha,17/18,3 Liga - Grupa III,11,1,604
385195,patryk-mucha,16/17,Ekstraklasa,1,0,0
385195,patryk-mucha,16/17,Fortuna Puchar Polski,0,0,0
385195,patryk-mucha,15/16,CLJ - Grupa Zachodnia,9,4,691
385195,patryk-mucha,13/14,CLJ - Runda Finałowa,1,0,90
