id,name,season,competition,gamesPlayed,goals
210364,patryk-stepinski,2022,Ekstraklasa,19,0
210364,patryk-stepinski,2022,Fortuna Puchar Polski,-,0
210364,patryk-stepinski,2021,Fortuna 1 Liga,33,3
210364,patryk-stepinski,2021,Fortuna Puchar Polski,2,0
210364,patryk-stepinski,2020,Fortuna 1 Liga,25,0
210364,patryk-stepinski,2020,Fortuna Puchar Polski,1,0
210364,patryk-stepinski,2019,Fortuna 1 Liga,7,0
210364,patryk-stepinski,2019,Fortuna Puchar Polski,2,0
210364,patryk-stepinski,2019,Ekstraklasa,1,0
210364,patryk-stepinski,2018,Ekstraklasa,12,0
210364,patryk-stepinski,2018,Fortuna Puchar Polski,3,1
210364,patryk-stepinski,2017,Ekstraklasa,10,0
210364,patryk-stepinski,2017,Fortuna Puchar Polski,1,0
210364,patryk-stepinski,2016,Ekstraklasa,33,0
210364,patryk-stepinski,2015,Fortuna 1 Liga,27,0
210364,patryk-stepinski,2015,Fortuna Puchar Polski,1,0
210364,patryk-stepinski,2014,Fortuna 1 Liga,24,0
210364,patryk-stepinski,2014,Fortuna Puchar Polski,1,0
210364,patryk-stepinski,2013,Ekstraklasa,21,0
210364,patryk-stepinski,2013,Fortuna Puchar Polski,2,0
210364,patryk-stepinski,2012,Ekstraklasa,1,0
210364,patryk-stepinski,2011,Ekstraklasa,-,0
210364,patryk-stepinski,2010,16,16.06.2011,D
210364,patryk-stepinski,2009,2,11.05.2010,D
210364,patryk-stepinski,2009,3,13.05.2010,D
210364,patryk-stepinski,2009,3,08.06.2010,D
210364,patryk-stepinski,2009,4,10.06.2010,D
