id,name,season,competition,gamesPlayed,goals,minutes
384524,serafin-szota,22/23,Ekstraklasa,14,0,1057
384524,serafin-szota,22/23,Fortuna Puchar Polski,1,0,120
384524,serafin-szota,21/22,Ekstraklasa,15,1,1150
384524,serafin-szota,21/22,Fortuna Puchar Polski,2,1,180
384524,serafin-szota,20/21,Ekstraklasa,8,0,317
384524,serafin-szota,20/21,1 Liga,17,1,1530
384524,serafin-szota,20/21,Fortuna Puchar Polski,1,1,90
384524,serafin-szota,19/20,1 Liga,10,0,868
384524,serafin-szota,19/20,Ekstraklasa,0,0,0
384524,serafin-szota,19/20,Fortuna Puchar Polski,1,0,90
384524,serafin-szota,18/19,Fortuna 1 Liga,21,0,1721
384524,serafin-szota,18/19,Fortuna Puchar Polski,3,0,180
384524,serafin-szota,17/18,3 Liga - Grupa III,24,1,1957
384524,serafin-szota,17/18,CLJ - Grupa Zachodnia,3,0,270
384524,serafin-szota,17/18,Fortuna Puchar Polski,1,0,90
384524,serafin-szota,16/17,CLJ - Grupa Zachodnia,11,1,984
384524,serafin-szota,16/17,CLJ - Grupa Zachodnia,16,1,1374
384524,serafin-szota,15/16,CLJ - Grupa Zachodnia,13,1,1003
