id,name,season,competition,gamesPlayed,goals,minutes
358648,anton-kryvotsyuk,22/23,Ekstraklasa,9,1,648
358648,anton-kryvotsyuk,22/23,Fortuna Puchar Polski,2,0,180
358648,anton-kryvotsyuk,21/22,Ekstraklasa,16,2,1344
358648,anton-kryvotsyuk,21/22,Fortuna Puchar Polski,1,0,120
358648,anton-kryvotsyuk,20/21,Premyer Liqa,21,2,1883
358648,anton-kryvotsyuk,20/21,Aserbaidschanischer Pokal,2,0,180
358648,anton-kryvotsyuk,20/21,Kwalifikacje do Ligi Europy,2,1,180
358648,anton-kryvotsyuk,19/20,Premyer Liqa,16,4,1440
358648,anton-kryvotsyuk,19/20,Aserbaidschanischer Pokal,2,0,180
358648,anton-kryvotsyuk,19/20,Kwalifikacje do Ligi Europy,6,0,540
358648,anton-kryvotsyuk,18/19,Premyer Liqa,23,3,1819
358648,anton-kryvotsyuk,18/19,Aserbaidschanischer Pokal,1,0,88
358648,anton-kryvotsyuk,18/19,Kwalifikacje do Ligi Europy,2,0,144
358648,anton-kryvotsyuk,17/18,Premyer Liqa,25,0,2196
358648,anton-kryvotsyuk,17/18,Aserbaidschanischer Pokal,5,0,450
358648,anton-kryvotsyuk,16/17,Premyer Liqa,1,0,43
