id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
520503,bartlomiej,gradecki,22/23,Ekstraklasa,9,0,2
520503,bartlomiej,gradecki,22/23,Fortuna Puchar Polski,1,0,0
520503,bartlomiej,gradecki,21/22,eWinner 2 liga,10,0,3
520503,bartlomiej,gradecki,21/22,Ekstraklasa,3,0,1
520503,bartlomiej,gradecki,21/22,Fortuna Puchar Polski,0,0,0
520503,bartlomiej,gradecki,20/21,Ekstraklasa,1,0,1
520503,bartlomiej,gradecki,20/21,Fortuna Puchar Polski,0,0,0
520503,bartlomiej,gradecki,19/20,eWinner 2 liga,18,0,3
520503,bartlomiej,gradecki,19/20,Fortuna Puchar Polski,0,0,0
520503,bartlomiej,gradecki,18/19,eWinner 2 liga,5,0,0
520503,bartlomiej,gradecki,18/19,Fortuna Puchar Polski,0,0,0
520503,bartlomiej,gradecki,17/18,Ekstraklasa,0,0,0
520503,bartlomiej,gradecki,17/18,CLJ - Grupa Wschodnia,1,0,0
