id,name,dates,marketValue
199302,mateusz-szwoch,2012-11-05,150000
199302,mateusz-szwoch,2013-07-21,225000
199302,mateusz-szwoch,2014-07-20,300000
199302,mateusz-szwoch,2015-03-04,300000
199302,mateusz-szwoch,2015-06-29,250000
199302,mateusz-szwoch,2016-01-09,200000
199302,mateusz-szwoch,2016-07-23,250000
199302,mateusz-szwoch,2017-01-20,300000
199302,mateusz-szwoch,2017-07-04,300000
199302,mateusz-szwoch,2018-01-15,300000
199302,mateusz-szwoch,2018-07-02,300000
199302,mateusz-szwoch,2019-02-09,200000
199302,mateusz-szwoch,2019-06-28,300000
199302,mateusz-szwoch,2020-01-14,300000
199302,mateusz-szwoch,2020-08-17,400000
199302,mateusz-szwoch,2021-01-18,500000
199302,mateusz-szwoch,2021-05-20,1500000
199302,mateusz-szwoch,2021-10-14,1000000
199302,mateusz-szwoch,2021-12-30,1000000
199302,mateusz-szwoch,2022-06-13,1000000
199302,mateusz-szwoch,2022-09-28,500000
199302,mateusz-szwoch,2022-11-15,500000
