id,name,season,competition,gamesPlayed,goals,minutes
554280,radoslaw-cielemecki,22/23,Ekstraklasa,2,0,70
554280,radoslaw-cielemecki,22/23,Fortuna Puchar Polski,1,0,77
554280,radoslaw-cielemecki,21/22,Ekstraklasa,17,1,663
554280,radoslaw-cielemecki,21/22,Fortuna Puchar Polski,1,0,56
554280,radoslaw-cielemecki,20/21,3 Liga - Grupa I,29,4,1640
554280,radoslaw-cielemecki,20/21,Ekstraklasa,0,0,0
554280,radoslaw-cielemecki,20/21,CLJ,4,1,329
554280,radoslaw-cielemecki,19/20,Ekstraklasa,2,0,163
554280,radoslaw-cielemecki,19/20,Fortuna Puchar Polski,0,0,0
554280,radoslaw-cielemecki,19/20,Fortuna Puchar Polski,3,0,101
554280,radoslaw-cielemecki,19/20,3 Liga - Grupa I,15,2,670
554280,radoslaw-cielemecki,18/19,3 Liga - Grupa I,7,1,250
554280,radoslaw-cielemecki,18/19,CLJ,8,2,489
