id,name,dates,marketValue
346549,dawid-kurminowski,2015-06-29,100000
346549,dawid-kurminowski,2017-07-04,100000
346549,dawid-kurminowski,2018-07-12,150000
346549,dawid-kurminowski,2019-01-24,150000
346549,dawid-kurminowski,2019-06-24,150000
346549,dawid-kurminowski,2019-12-14,200000
346549,dawid-kurminowski,2020-07-09,200000
346549,dawid-kurminowski,2020-12-27,600000
346549,dawid-kurminowski,2021-06-25,900000
346549,dawid-kurminowski,2021-12-27,800000
346549,dawid-kurminowski,2022-06-19,500000
346549,dawid-kurminowski,2022-11-15,400000
