id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
385199,dawid,pakulski,22/23,eWinner 2 liga,14,1,1115
385199,dawid,pakulski,21/22,3 Liga - Grupa III,15,1,1258
385199,dawid,pakulski,21/22,Ekstraklasa,10,0,378
385199,dawid,pakulski,21/22,Fortuna Puchar Polski,1,0,75
385199,dawid,pakulski,20/21,eWinner 2 liga,13,0,565
385199,dawid,pakulski,20/21,Fortuna Puchar Polski,0,0,0
385199,dawid,pakulski,20/21,Ekstraklasa,1,0,9
385199,dawid,pakulski,19/20,Ekstraklasa,9,1,123
385199,dawid,pakulski,19/20,3 Liga - Grupa III,4,0,339
385199,dawid,pakulski,19/20,Fortuna Puchar Polski,1,1,36
385199,dawid,pakulski,18/19,Ekstraklasa,16,1,524
385199,dawid,pakulski,18/19,3 Liga - Grupa III,7,2,565
385199,dawid,pakulski,17/18,3 Liga - Grupa III,23,2,1879
385199,dawid,pakulski,17/18,Ekstraklasa,2,0,3
385199,dawid,pakulski,17/18,Fortuna Puchar Polski,1,0,12
385199,dawid,pakulski,17/18,Fortuna Puchar Polski,1,0,90
385199,dawid,pakulski,16/17,CLJ - Grupa Zachodnia,13,2,1105
385199,dawid,pakulski,15/16,CLJ - Grupa Zachodnia,28,6,2366
