id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
193554,jakub,swierczok,22/23,2023-02-10,Nagoya Grampus,Zaglebie Lubin,0,0
193554,jakub,swierczok,21/22,2021-07-20,Piast Gliwice,Nagoya Grampus,3000000,2000000
193554,jakub,swierczok,21/22,2021-07-01,Ludogorets,Piast Gliwice,3000000,1000000
193554,jakub,swierczok,20/21,2021-06-30,Piast Gliwice,Ludogorets,3000000,End of loan
193554,jakub,swierczok,20/21,2020-08-17,Ludogorets,Piast Gliwice,2400000,loan transfer
193554,jakub,swierczok,17/18,2018-01-19,Zaglebie Lubin,Ludogorets,1000000,850000
193554,jakub,swierczok,17/18,2017-07-01,GKS Tychy,Zaglebie Lubin,150000,100000
193554,jakub,swierczok,16/17,2016-07-21,Gornik Leczna,GKS Tychy,350000,free transfer
193554,jakub,swierczok,15/16,2015-07-01,Zawisza,Gornik Leczna,300000,free transfer
193554,jakub,swierczok,14/15,2015-01-08,K'lautern II,Zawisza,100000,free transfer
193554,jakub,swierczok,13/14,2013-07-01,1.FC K'lautern,K'lautern II,500000,0
193554,jakub,swierczok,12/13,2013-06-30,Piast Gliwice,1.FC K'lautern,500000,End of loan
193554,jakub,swierczok,12/13,2012-07-23,1.FC K'lautern,Piast Gliwice,500000,loan transfer
193554,jakub,swierczok,11/12,2012-01-01,Polonia Bytom,1.FC K'lautern,125000,420000
193554,jakub,swierczok,11/12,2011-07-01,Pol. Bytom II,Polonia Bytom,0,0
193554,jakub,swierczok,09/10,2009-07-01,Cracovia U19,Pol. Bytom II,0,5000
