season,date,sourceTeam,destTeam,marketValue,price
19/20,2019-07-01,Omonia Nikosia,Zaglebie Lubin,350000,free transfer
18/19,2018-07-14,Piast Gliwice,Omonia Nikosia,350000,free transfer
14/15,2014-08-29,NK Domzale,Piast Gliwice,400000,60000
13/14,2013-12-31,ND Gorica,NK Domzale,400000,End of loan
13/14,2013-07-11,NK Domzale,ND Gorica,250000,loan transfer
12/13,2013-06-30,ND Gorica,NK Domzale,250000,End of loan
12/13,2013-01-21,NK Domzale,ND Gorica,300000,loan transfer
11/12,2012-01-01,CSKA Sofia,NK Domzale,400000,free transfer
11/12,2011-07-01,ND Primorje,CSKA Sofia,400000,120000
10/11,2010-07-01,NK Bilje U19,ND Primorje,0,0
