season,date,sourceTeam,destTeam,marketValue,price
16/17,2016-07-01,Viktoria Zizkov,Rakow,0,free transfer
15/16,2016-03-04,Vysehrad,Viktoria Zizkov,0,free transfer
15/16,2015-07-24,SK Prevysov,Vysehrad,0,free transfer
14/15,2015-02-24,F. Swinoujscie,SK Prevysov,0,free transfer
14/15,2015-01-26,Hr. Kralove B,F. Swinoujscie,0,free transfer
14/15,2014-12-31,FK Kolin,Hr. Kralove B,0,End of loan
14/15,2014-07-01,Hr. Kralove B,FK Kolin,0,loan transfer
13/14,2014-06-30,Roudnice n. L.,Hr. Kralove B,0,End of loan
12/13,2013-03-05,Hr. Kralove B,Roudnice n. L.,0,loan transfer
12/13,2012-12-31,Hlavice,Hr. Kralove B,0,End of loan
12/13,2012-08-10,Hr. Kralove B,Hlavice,0,loan transfer
10/11,2011-01-01,Hr. Kralove U19,Hr. Kralove B,0,0
08/09,2008-07-01,Hr. Kralove U17,Hr. Kralove U19,0,0
Total transfer fees:,0,Youth clubs,AFK Častolovice (1999 - 2002),FC Spartak Rychnov nad Kněžnou (2002 - 2006),FK Náchod-Deštné (2006 - 2007)
